year,mileage,model_name,model_brand_name,transmission,fuelType,sellingCondition,bodyType,mileageUnit,interiorColor,engineType,gradeScore,isFirstOwner
2011,157208,venza,toyota,automatic,petrol,foreign,suv,km,grey,6-cylinder(i6),5.0,true
2018,85411,gs8,gac,automatic,petrol,foreign,suv,km,black,4-cylinder(i4),5.0,true
2006,89837,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.5,true
2009,91158,camry,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.5,true
2009,51001,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),5.0,true
2013,136889,highlander,toyota,automatic,petrol,foreign,suv,km,black,6-cylinder(i6),5.0,true
2013,136504,camry,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.599999904632568,true
2015,31271,ml 350,mercedes-benz,automatic,petrol,foreign,suv,km,black,8-cylinder(v8),5.0,true
2013,146428,camry,toyota,automatic,petrol,foreign,sedan,km,black,4-cylinder(i4),4.800000190734863,true
2007,32159,gx 470,lexus,automatic,petrol,foreign,suv,km,grey,8-cylinder(v8),4.599999904632568,true
2014,132427,camry,toyota,automatic,petrol,foreign,sedan,km,black,6-cylinder(v6),5.0,true
2011,77682,venza,toyota,automatic,petrol,foreign,suv,km,brown,6-cylinder(v6),4.900000095367432,true
2014,34552,corolla,toyota,automatic,petrol,local,sedan,km,grey,4-cylinder(i4),4.900000095367432,true
2014,161897,camry,toyota,automatic,petrol,foreign,sedan,km,black,6-cylinder(v6),5.0,true
2005,253314,sienna,toyota,automatic,petrol,foreign,suv,km,grey,6-cylinder(i6),4.800000190734863,true
2010,123456,pilot,honda,automatic,petrol,foreign,suv,km,black,6-cylinder(i6),4.900000095367432,true
2011,97543,mdx,acura,automatic,petrol,foreign,suv,km,black,6-cylinder(i6),4.699999809265137,true
2008,156792,edge,ford,automatic,petrol,foreign,suv,km,cream,6-cylinder(v6),4.800000190734863,true
2015,59639,c 300,mercedes-benz,automatic,petrol,foreign,sedan,km,black,4-cylinder(i4),4.699999809265137,true
2011,127832,camry,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),5.0,true
2011,177398,edge,ford,automatic,petrol,foreign,suv,km,grey,6-cylinder(i6),5.0,true
2009,164156,camry,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),5.0,true
2007,207482,camry,toyota,automatic,petrol,foreign,sedan,km,black,4-cylinder(i4),4.900000095367432,true
2006,136330,ml 350,mercedes-benz,automatic,petrol,local,suv,km,black,6-cylinder(i6),4.800000190734863,true
2010,12356,rdx,acura,automatic,petrol,foreign,crossover,km,grey,6-cylinder(v6),4.900000095367432,true
2001,216620,rx 300,lexus,automatic,petrol,foreign,suv,km,cream,6-cylinder(i6),4.800000190734863,true
2009,215141,camry,toyota,automatic,petrol,foreign,sedan,km,grey,6-cylinder(i6),4.900000095367432,true
2005,165156,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.800000190734863,true
2008,93022,highlander,toyota,automatic,petrol,foreign,suv,km,grey,6-cylinder(i6),4.900000095367432,true
2006,76574,is 250,lexus,automatic,petrol,foreign,sedan,km,black,6-cylinder(i6),4.800000190734863,true
2008,95381,es 350,lexus,automatic,petrol,foreign,sedan,km,cream,6-cylinder(i6),4.900000095367432,true
2008,169145,rx 350,lexus,automatic,petrol,local,suv,km,silver,6-cylinder(i6),4.800000190734863,true
2009,175563,camry,toyota,automatic,petrol,foreign,sedan,km,cream,4-cylinder(i4),5.0,true
2005,171744,pilot,honda,automatic,petrol,local,suv,km,gold,6-cylinder(i6),4.800000190734863,true
2005,98886,rx 330,lexus,automatic,petrol,foreign,suv,km,cream,6-cylinder(i6),4.800000190734863,true
2007,210120,camry,toyota,automatic,petrol,foreign,sedan,km,cream,6-cylinder(v6),4.599999904632568,true
2007,10000,camry,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.5,true
2002,100000,rx 300,lexus,automatic,petrol,foreign,suv,km,grey,6-cylinder(i6),4.900000095367432,true
2010,100000,tl,acura,automatic,petrol,foreign,sedan,km,grey,6-cylinder(v6),4.800000190734863,true
2012,121961,camry,toyota,automatic,petrol,foreign,sedan,km,black,4-cylinder(i4),5.0,true
2010,120584,camry,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.800000190734863,true
2010,67164,ml 350,mercedes-benz,automatic,petrol,foreign,suv,km,cream,6-cylinder(i6),4.900000095367432,true
2005,106575,pathfinder,nissan,automatic,petrol,local,suv,km,black,6-cylinder(v6),4.599999904632568,true
2015,96057,cr-v,honda,automatic,petrol,foreign,suv,km,grey,4-cylinder(i4),5.0,true
2008,85552,rx 350,lexus,automatic,petrol,foreign,suv,km,brown,6-cylinder(v6),4.900000095367432,true
2007,215752,ml 350,mercedes-benz,automatic,petrol,foreign,suv,km,grey,6-cylinder(i6),5.0,true
2012,193536,crosstour,honda,automatic,petrol,foreign,suv,km,black,4-cylinder(i4),5.0,true
2008,145227,mdx,acura,automatic,petrol,foreign,suv,km,silver,6-cylinder(i6),5.0,true
2008,43219,mdx,acura,automatic,petrol,foreign,suv,km,grey,6-cylinder(i6),5.0,true
2005,71909,highlander,toyota,automatic,petrol,foreign,suv,km,cream,4-cylinder(i4),4.900000095367432,false
2014,72167,accord,honda,automatic,petrol,foreign,suv,km,black,6-cylinder(v6),4.800000190734863,true
2012,58317,venza,toyota,automatic,petrol,foreign,suv,km,grey,6-cylinder(v6),5.0,true
2011,55448,venza,toyota,automatic,petrol,foreign,suv,km,cream,4-cylinder(i4),5.0,true
2012,130778,crosstour,honda,automatic,petrol,foreign,hatchback,km,grey,6-cylinder(v6),5.0,true
2010,100000,fusion,ford,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.800000190734863,true
2011,152341,elantra,hyundai,automatic,petrol,local,sedan,km,cream,4-cylinder(i4),4.400000095367432,true
2002,100000,explorer,ford,automatic,petrol,foreign,suv,km,brown,8-cylinder(v8),4.599999904632568,true
2008,110420,matrix,toyota,automatic,petrol,foreign,hatchback,km,grey,4-cylinder(i4),4.800000190734863,true
2005,168728,camry,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.400000095367432,true
2012,95355,crosstour,honda,automatic,petrol,foreign,hatchback,km,black,6-cylinder(v6),4.800000190734863,true
2003,11,rx 300,lexus,automatic,petrol,local,suv,km,grey,6-cylinder(v6),5.0,true
2009,122344,c 300,mercedes-benz,automatic,petrol,foreign,sedan,km,grey,6-cylinder(v6),4.800000190734863,true
2008,125320,rav 4,toyota,automatic,petrol,foreign,suv,km,grey,4-cylinder(i4),5.0,true
2005,152776,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),5.0,true
2005,195230,matrix,toyota,automatic,petrol,foreign,hatchback,km,grey,4-cylinder(i4),5.0,true
2004,156000,sienna,toyota,automatic,petrol,foreign,minivan,km,grey,5-cylinder(i5),5.0,true
2004,227360,highlander,toyota,automatic,petrol,local,suv,km,grey,6-cylinder(i6),4.900000095367432,true
2006,202609,mdx,acura,automatic,petrol,foreign,suv,km,grey,6-cylinder(i6),4.900000095367432,true
2003,135230,rav 4,toyota,automatic,petrol,foreign,suv,km,grey,4-cylinder(i4),5.0,true
2007,35493,matrix,toyota,automatic,petrol,foreign,hatchback,km,grey,4-cylinder(i4),4.699999809265137,true
2009,136321,matrix,toyota,automatic,petrol,foreign,hatchback,km,grey,4-cylinder(i4),4.599999904632568,true
2006,164353,es 300,lexus,automatic,petrol,foreign,sedan,km,black,6-cylinder(v6),4.400000095367432,true
2004,142840,corolla,toyota,automatic,petrol,local,sedan,km,grey,4-cylinder(i4),4.599999904632568,true
2007,78641,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.599999904632568,true
2004,80982,sienna,toyota,automatic,petrol,foreign,minivan,km,grey,6-cylinder(v6),4.599999904632568,true
2008,12134,350,mercedes-benz,automatic,petrol,foreign,suv,km,silver,6-cylinder(v6),4.699999809265137,true
2012,129891,gx 460,lexus,automatic,petrol,foreign,suv,km,black,8-cylinder(i8),5.0,true
2006,129671,gx 470,lexus,automatic,petrol,foreign,suv,km,black,6-cylinder(i6),5.0,true
2011,75616,gx 460,lexus,automatic,petrol,foreign,suv,km,brown,6-cylinder(i6),5.0,true
2015,93305,es 350,lexus,automatic,petrol,foreign,sedan,km,biege,6-cylinder(v6),4.900000095367432,true
2009,233702,rav 4,toyota,automatic,petrol,foreign,suv,km,gold,4-cylinder(i4),5.0,true
2004,99150,sienna,toyota,automatic,petrol,foreign,suv,km,grey,6-cylinder(i6),4.900000095367432,true
2007,170094,camry,toyota,automatic,petrol,foreign,sedan,km,silver,4-cylinder(i4),5.0,true
2015,96863,highlander,toyota,automatic,petrol,foreign,suv,km,cream,6-cylinder(i6),4.900000095367432,true
2009,127941,venza,toyota,automatic,petrol,foreign,suv,km,silver,6-cylinder(i6),4.800000190734863,true
2009,84678,venza,toyota,automatic,petrol,local,suv,km,cream,6-cylinder(i6),4.800000190734863,true
